hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee
HV0005,B03406,,2025-01-19 19:10:01,,2025-01-19 19:16:13,2025-01-19 19:21:11,61,61,0.557,298,12.38,0.0,0.23,0.74,0.0,0.0,2.0,5.47,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-18 15:45:16,2025-01-18 15:53:33,2025-01-18 15:54:43,2025-01-18 15:56:33,42,42,0.39,110,7.68,0.0,0.16,0.52,0.0,0.0,0.0,3.99,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-23 09:59:00,2025-01-23 10:00:58,2025-01-23 10:01:18,2025-01-23 10:03:56,198,36,0.37,158,9.01,0.0,0.25,0.8,0.0,0.0,0.0,4.53,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-24 22:46:28,2025-01-24 22:52:27,2025-01-24 22:52:55,2025-01-24 23:00:06,159,168,1.05,431,9.95,0.0,0.27,0.89,0.0,0.0,0.0,6.23,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-01-23 13:20:11,2025-01-23 13:21:03,2025-01-23 13:21:26,2025-01-23 13:27:37,90,234,0.74,371,14.25,0.0,0.35,1.26,2.75,0.0,1.0,6.48,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-06 08:41:28,2025-01-06 08:46:12,2025-01-06 08:46:33,2025-01-06 08:49:57,61,188,0.53,204,11.63,0.0,0.32,1.03,0.0,0.0,0.0,6.08,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-03 17:24:06,,2025-01-03 17:27:59,2025-01-03 17:45:48,142,244,5.622,1069,22.61,0.0,0.62,2.01,2.75,0.0,0.0,18.1,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-01 01:23:30,2025-01-01 01:23:47,2025-01-01 01:23:47,2025-01-01 01:30:59,7,179,0.21,432,10.21,0.0,0.29,0.92,0.0,0.0,0.0,21.56,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-14 08:06:40,2025-01-14 08:10:07,2025-01-14 08:10:39,2025-01-14 08:21:17,51,250,4.98,638,12.77,0.0,0.35,1.13,0.0,0.0,0.0,14.22,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-19 10:15:43,,2025-01-19 10:18:40,2025-01-19 10:26:18,81,32,1.713,458,11.11,0.0,0.21,0.67,0.0,0.0,0.0,6.81,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-15 21:28:51,2025-01-15 21:30:51,2025-01-15 21:32:52,2025-01-15 21:43:35,169,78,0.9,643,11.75,0.0,0.31,1.01,0.0,0.0,0.0,7.47,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-27 13:26:54,2025-01-27 13:28:30,2025-01-27 13:28:30,2025-01-27 14:15:59,132,89,20.19,2849,52.65,0.0,1.51,4.9,0.0,2.5,6.15,55.14,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-22 16:21:42,,2025-01-22 16:24:54,2025-01-22 16:36:14,10,10,1.44,680,13.15,0.0,0.17,0.55,0.0,0.0,0.0,8.6,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-25 10:46:09,2025-01-25 10:47:28,2025-01-25 10:48:00,2025-01-25 10:55:48,42,41,2.46,468,11.77,0.0,0.32,1.04,0.0,0.0,0.0,7.9,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-11 01:55:15,2025-01-11 01:59:35,2025-01-11 02:00:08,2025-01-11 02:14:56,90,141,3.46,888,19.04,0.0,0.49,1.69,2.75,0.0,0.0,14.34,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-05 11:07:15,2025-01-05 11:08:33,2025-01-05 11:08:54,2025-01-05 11:16:54,7,223,1.44,480,10.9,0.0,0.32,1.03,0.0,0.0,0.0,6.62,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-22 16:25:44,2025-01-22 16:26:05,2025-01-22 16:26:44,2025-01-22 16:37:10,213,51,4.82,626,12.15,0.0,0.34,1.08,0.0,0.0,0.0,12.64,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-10 03:07:36,2025-01-10 03:10:56,2025-01-10 03:12:49,2025-01-10 03:24:12,90,148,2.3,683,16.37,0.0,0.41,1.45,2.75,0.0,0.0,9.76,N,N,N,N,N,1.5
HV0005,B03406,,2025-01-01 20:48:38,,2025-01-01 20:55:57,2025-01-01 21:02:03,91,72,1.262,366,8.88,0.0,0.24,0.79,0.0,0.0,0.0,8.47,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-08 07:22:49,,2025-01-08 07:41:01,2025-01-08 08:18:00,71,181,3.873,2219,28.93,0.0,0.71,2.29,0.0,0.0,4.79,29.17,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-09 21:34:55,,2025-01-09 21:38:21,2025-01-09 21:49:34,42,74,2.138,673,12.34,0.0,0.34,1.1,0.0,0.0,0.0,10.31,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-01-25 22:08:54,2025-01-25 22:12:31,2025-01-25 22:12:32,2025-01-25 22:46:16,164,171,12.51,2024,39.5,6.94,1.11,4.34,2.75,0.0,0.0,36.67,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-03 06:31:32,2025-01-03 06:34:13,2025-01-03 06:34:24,2025-01-03 06:49:29,166,75,2.93,905,13.4,0.0,0.36,1.19,0.0,0.0,3.0,21.35,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-23 08:31:24,2025-01-23 08:35:23,2025-01-23 08:35:54,2025-01-23 08:39:05,237,162,0.6,191,10.89,0.0,0.26,0.96,2.75,0.0,0.0,6.84,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-16 00:13:04,2025-01-16 00:13:53,2025-01-16 00:15:53,2025-01-16 00:29:56,161,112,3.42,843,29.44,6.94,0.77,3.23,2.75,0.0,0.0,14.04,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-30 14:10:52,2025-01-30 14:12:31,2025-01-30 14:14:32,2025-01-30 14:30:46,56,82,1.97,974,13.41,0.0,0.37,1.22,0.0,0.0,0.0,12.14,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-20 20:09:49,2025-01-20 20:11:32,2025-01-20 20:13:33,2025-01-20 20:28:32,148,164,3.03,899,16.77,0.0,0.43,1.49,2.75,0.0,0.0,12.85,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-21 09:04:44,2025-01-21 09:06:14,2025-01-21 09:07:33,2025-01-21 09:23:57,165,22,2.76,984,24.19,0.0,0.66,2.15,0.0,0.0,0.0,15.16,N,N,N,N,Y,0.0
HV0005,B03406,,2025-01-30 11:02:40,,2025-01-30 11:03:58,2025-01-30 11:12:49,237,140,1.06,531,13.61,0.0,0.37,1.21,2.75,0.0,2.69,7.03,N,N,N,N,Y,0.0
HV0005,B03406,,2025-01-07 08:52:57,,2025-01-07 08:59:30,2025-01-07 09:16:00,236,140,1.588,990,20.0,0.0,0.49,1.58,2.75,0.0,0.0,13.83,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-09 23:38:25,2025-01-09 23:41:03,2025-01-09 23:42:17,2025-01-09 23:50:39,136,94,1.2,502,7.97,0.0,0.21,0.7,0.0,0.0,0.0,6.93,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-23 21:13:22,2025-01-23 21:14:31,2025-01-23 21:14:55,2025-01-23 21:44:04,143,144,6.62,1749,26.71,0.0,0.71,2.37,2.75,0.0,0.0,29.33,N,N,N,N,Y,1.5
HV0005,B03406,,2025-01-06 17:02:06,,2025-01-06 17:04:29,2025-01-06 17:30:28,68,140,3.572,1559,20.86,0.16,0.58,1.86,2.75,0.0,4.16,20.08,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-10 09:12:39,2025-01-10 09:16:18,2025-01-10 09:16:29,2025-01-10 09:22:52,51,3,1.28,383,7.97,0.0,0.22,0.71,0.0,0.0,0.0,5.46,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-20 11:29:47,2025-01-20 11:32:35,2025-01-20 11:33:18,2025-01-20 11:45:43,143,237,1.73,745,14.15,0.0,0.3,1.09,2.75,0.0,0.0,9.59,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-19 17:56:32,2025-01-19 18:05:46,2025-01-19 18:06:48,2025-01-19 18:17:41,84,5,2.89,653,13.21,0.0,0.36,1.19,0.0,0.0,0.0,18.02,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-01-14 21:32:30,2025-01-14 21:40:44,2025-01-14 21:40:58,2025-01-14 21:48:24,68,234,1.17,446,15.45,0.0,0.41,1.45,2.75,0.0,0.0,8.17,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-01-13 17:45:19,2025-01-13 17:51:37,2025-01-13 17:51:47,2025-01-13 18:11:05,206,23,4.93,1158,26.86,0.0,0.74,2.38,0.0,0.0,0.0,17.95,N,N,N,N,N,0.0
HV0005,B03406,,2025-01-07 15:47:24,,2025-01-07 15:51:13,2025-01-07 15:57:43,185,242,0.785,390,8.05,0.0,0.22,0.72,0.0,0.0,0.0,5.47,N,N,N,N,N,0.0
